Material;NOBB nummer;Material                          ;Priser 01.04.2017;Enhet;;;
148674;51538321;INNSATS 470 1 SIDEG V/H TLB RF;32984;ST;Ingen endring;;
148578;51537375;INNSATS 470 1 SIDEG V/H TLB SORT;28191;ST;Ingen endring;;
148673;51538317;INNSATS 470 1 SIDEG V/H TLT RF;32984;ST;Ingen endring;;
148577;51537360;INNSATS 470 1 SIDEG V/H TLT SORT;28191;ST;Ingen endring;;
148722;51538813;INNSATS 470 2 SIDEG H/H TLB RF;37056;ST;Ingen endring;;
148634;51537920;INNSATS 470 2 SIDEG H/H TLB SORT;31672;ST;Ingen endring;;
148721;51538805;INNSATS 470 2 SIDEG H/H TLT RF;37056;ST;Ingen endring;;
148633;51537916;INNSATS 470 2 SIDEG H/H TLT SORT;31672;ST;Ingen endring;;
148678;51538366;INNSATS 470 2 SIDEG V/H TLB RF;37056;ST;Ingen endring;;
148582;51537413;INNSATS 470 2 SIDEG V/H TLB SORT;31672;ST;Ingen endring;;
148677;51538355;INNSATS 470 2 SIDEG V/H TLT RF;37056;ST;Ingen endring;;
148581;51537405;INNSATS 470 2 SIDEG V/H TLT SORT;31672;ST;Ingen endring;;
148708;51538665;INNSATS 470 BUET H/H TLB RF;24024;ST;Ingen endring;;
148620;51537780;INNSATS 470 BUET H/H TLB SORT;20534;ST;Ingen endring;;
148707;51538654;INNSATS 470 BUET H/H TLT RF;24024;ST;Ingen endring;;
148619;51537776;INNSATS 470 BUET H/H TLT SORT;20534;ST;Ingen endring;;
148664;51538226;INNSATS 470 BUET V/H TLB RF;24024;ST;Ingen endring;;
148568;51537273;INNSATS 470 BUET V/H TLB SORT;20534;ST;Ingen endring;;
148663;51538215;INNSATS 470 BUET V/H TLT RF;24024;ST;Ingen endring;;
148567;51537265;INNSATS 470 BUET V/H TLT SORT;20534;ST;Ingen endring;;
148684;51538423;INNSATS 470 HØY H/H TLB RF;21581;ST;Ingen endring;;
148596;51537545;INNSATS 470 HØY H/H TLB SORT;18445;ST;Ingen endring;;
148683;51538412;INNSATS 470 HØY H/H TLT RF;21581;ST;Ingen endring;;
148595;51537534;INNSATS 470 HØY H/H TLT SORT;18445;ST;Ingen endring;;
148640;51537984;INNSATS 470 HØY V/H TLB RF;21581;ST;Ingen endring;;
148544;51537038;INNSATS 470 HØY V/H TLB SORT;18445;ST;Ingen endring;;
148639;51537973;INNSATS 470 HØY V/H TLT RF;21581;ST;Ingen endring;;
148543;51537023;INNSATS 470 HØY V/H TLT SORT;18445;ST;Ingen endring;;
148924;;INNSATS 470 STD H/H PRO 1 SORT;20851;ST;Ingen endring;;
148682;51538404;INNSATS 470 STD H/H TLB RF;21581;ST;Ingen endring;;
148594;51537526;INNSATS 470 STD H/H TLB SORT;18445;ST;Ingen endring;;
148681;51538393;INNSATS 470 STD H/H TLT RF;21581;ST;Ingen endring;;
148593;51537515;INNSATS 470 STD H/H TLT SORT;18445;ST;Ingen endring;;
148923;;INNSATS 470 STD V/H PRO 1 SORT;20851;ST;Ingen endring;;
148638;51537965;INNSATS 470 STD V/H TLB RF;21581;ST;Ingen endring;;
148542;51537012;INNSATS 470 STD V/H TLB SORT;18445;ST;Ingen endring;;
148637;51537954;INNSATS 470 STD V/H TLT RF;21581;ST;Ingen endring;;
148541;51537004;INNSATS 470 STD V/H TLT SORT;18445;ST;Ingen endring;;
148714;51538722;INNSATS 470 VINKEL H/H TLB RF;37056;ST;Ingen endring;;
148626;51537844;INNSATS 470 VINKEL H/H TLB SORT;31672;ST;Ingen endring;;
148713;51538718;INNSATS 470 VINKEL H/H TLT RF;37056;ST;Ingen endring;;
148625;51537833;INNSATS 470 VINKEL H/H TLT SORT;31672;ST;Ingen endring;;
148670;51538283;INNSATS 470 VINKEL V/H TLB RF;37056;ST;Ingen endring;;
148574;51537337;INNSATS 470 VINKEL V/H TLB SORT;31672;ST;Ingen endring;;
148669;51538272;INNSATS 470 VINKEL V/H TLT RF;37056;ST;Ingen endring;;
148573;51537322;INNSATS 470 VINKEL V/H TLT SORT;31672;ST;Ingen endring;;
148690;51538480;INNSATS 470 XL STD H/H TLB RF;24024;ST;Ingen endring;;
148602;51537602;INNSATS 470 XL STD H/H TLB SORT;20534;ST;Ingen endring;;
148689;51538476;INNSATS 470 XL STD H/H TLT RF;24024;ST;Ingen endring;;
148601;51537598;INNSATS 470 XL STD H/H TLT SORT;20534;ST;Ingen endring;;
148646;51538041;INNSATS 470 XL STD V/H TLB RF;24024;ST;Ingen endring;;
148550;51537095;INNSATS 470 XL STD V/H TLB SORT;20534;ST;Ingen endring;;
148645;51538037;INNSATS 470 XL STD V/H TLT RF;24024;ST;Ingen endring;;
148549;51537080;INNSATS 470 XL STD V/H TLT SORT;20534;ST;Ingen endring;;
148704;51538620;INNSATS 470 XXL STD H/H TLB RF;29726;ST;Ingen endring;;
148616;51537742;INNSATS 470 XXL STD H/H TLB SORT;25407;ST;Ingen endring;;
148703;51538616;INNSATS 470 XXL STD H/H TLT RF;29726;ST;Ingen endring;;
148615;51537738;INNSATS 470 XXL STD H/H TLT SORT;25407;ST;Ingen endring;;
148660;51538181;INNSATS 470 XXL STD V/H TLB RF;29726;ST;Ingen endring;;
148564;51537235;INNSATS 470 XXL STD V/H TLB SORT;25407;ST;Ingen endring;;
148659;51538177;INNSATS 470 XXL STD V/H TLT RF;29726;ST;Ingen endring;;
148563;51537220;INNSATS 470 XXL STD V/H TLT SORT;25407;ST;Ingen endring;;
148698;51538563;INNSATS 470-850 STD H/H TLB RF;28097;ST;Ingen endring;;
148610;51537685;INNSATS 470-850 STD H/H TLB SORT;24014;ST;Ingen endring;;
148697;51538552;INNSATS 470-850 STD H/H TLT RF;28097;ST;Ingen endring;;
148609;51537674;INNSATS 470-850 STD H/H TLT SORT;24014;ST;Ingen endring;;
148654;51538124;INNSATS 470-850 STD V/H TLB RF;28097;ST;Ingen endring;;
148558;51537178;INNSATS 470-850 STD V/H TLB SORT;24014;ST;Ingen endring;;
148653;51538113;INNSATS 470-850 STD V/H TLT RF;28097;ST;Ingen endring;;
148557;51537163;INNSATS 470-850 STD V/H TLT SORT;24014;ST;Ingen endring;;
148694;51538525;INNSATS 470XLS STD H/H TLB RF;30540;ST;Ingen endring;;
148606;51537640;INNSATS 470XLS STD H/H TLB SORT;26103;ST;Ingen endring;;
148693;51538514;INNSATS 470XLS STD H/H TLT RF;30540;ST;Ingen endring;;
148605;51537636;INNSATS 470XLS STD H/H TLT SORT;26103;ST;Ingen endring;;
148650;51538086;INNSATS 470XLS STD V/H TLB RF;30540;ST;Ingen endring;;
148554;51537133;INNSATS 470XLS STD V/H TLB SORT;26103;ST;Ingen endring;;
148649;51538075;INNSATS 470XLS STD V/H TLT RF;30540;ST;Ingen endring;;
148553;51537125;INNSATS 470XLS STD V/H TLT SORT;26103;ST;Ingen endring;;
148700;51538582;INNSATS 500-850 STD H/H TLB RF;28911;ST;Ingen endring;;
148612;51537704;INNSATS 500-850 STD H/H TLB SORT;24710;ST;Ingen endring;;
148699;51538578;INNSATS 500-850 STD H/H TLT RF;28911;ST;Ingen endring;;
148611;51537693;INNSATS 500-850 STD H/H TLT SORT;24710;ST;Ingen endring;;
148656;51538143;INNSATS 500-850 STD V/H TLB RF;28911;ST;Ingen endring;;
148560;51537197;INNSATS 500-850 STD V/H TLB SORT;24710;ST;Ingen endring;;
148655;51538132;INNSATS 500-850 STD V/H TLT RF;28911;ST;Ingen endring;;
148559;51537182;INNSATS 500-850 STD V/H TLT SORT;24710;ST;Ingen endring;;
148720;51538786;INNSATS 550 1 SIDEG H/H TLB RF;36242;ST;Ingen endring;;
148632;51537901;INNSATS 550 1 SIDEG H/H TLB SORT;30976;ST;Ingen endring;;
148719;51538775;INNSATS 550 1 SIDEG H/H TLT RF;36242;ST;Ingen endring;;
148631;51537897;INNSATS 550 1 SIDEG H/H TLT SORT;30976;ST;Ingen endring;;
148676;51538340;INNSATS 550 1 SIDEG V/H TLB RF;36242;ST;Ingen endring;;
148580;51537394;INNSATS 550 1 SIDEG V/H TLB SORT;30976;ST;Ingen endring;;
148675;51538336;INNSATS 550 1 SIDEG V/H TLT RF;36242;ST;Ingen endring;;
148579;51537386;INNSATS 550 1 SIDEG V/H TLT SORT;30976;ST;Ingen endring;;
148724;51538832;INNSATS 550 2 SIDEG H/H TLB RF;45201;ST;Ingen endring;;
148636;51537946;INNSATS 550 2 SIDEG H/H TLB SORT;38633;ST;Ingen endring;;
148723;51538824;INNSATS 550 2 SIDEG H/H TLT RF;45201;ST;Ingen endring;;
148635;51537935;INNSATS 550 2 SIDEG H/H TLT SORT;38633;ST;Ingen endring;;
148680;51538385;INNSATS 550 2 SIDEG V/H TLB RF;45201;ST;Ingen endring;;
148584;51537432;INNSATS 550 2 SIDEG V/H TLB SORT;38633;ST;Ingen endring;;
148679;51538374;INNSATS 550 2 SIDEG V/H TLT RF;45201;ST;Ingen endring;;
148583;51537424;INNSATS 550 2 SIDEG V/H TLT SORT;38633;ST;Ingen endring;;
148710;51538684;INNSATS 550 BUET H/H TLB RF;27282;ST;Ingen endring;;
148622;51537806;INNSATS 550 BUET H/H TLB SORT;23318;ST;Ingen endring;;
148709;51538673;INNSATS 550 BUET H/H TLT RF;27282;ST;Ingen endring;;
148621;51537795;INNSATS 550 BUET H/H TLT SORT;23318;ST;Ingen endring;;
148666;51538245;INNSATS 550 BUET V/H TLB RF;27282;ST;Ingen endring;;
148570;51537292;INNSATS 550 BUET V/H TLB SORT;23318;ST;Ingen endring;;
148665;51538234;INNSATS 550 BUET V/H TLT RF;27282;ST;Ingen endring;;
148569;51537284;INNSATS 550 BUET V/H TLT SORT;23318;ST;Ingen endring;;
148688;51538461;INNSATS 550 HØY H/H TLB RF;24024;ST;Ingen endring;;
148600;51537583;INNSATS 550 HØY H/H TLB SORT;20534;ST;Ingen endring;;
148687;51538457;INNSATS 550 HØY H/H TLT RF;24024;ST;Ingen endring;;
148599;51537572;INNSATS 550 HØY H/H TLT SORT;20534;ST;Ingen endring;;
148644;51538022;INNSATS 550 HØY V/H TLB RF;24024;ST;Ingen endring;;
148548;51537076;INNSATS 550 HØY V/H TLB SORT;20534;ST;Ingen endring;;
148643;51538018;INNSATS 550 HØY V/H TLT RF;24024;ST;Ingen endring;;
148547;51537061;INNSATS 550 HØY V/H TLT SORT;20534;ST;Ingen endring;;
148712;51538703;INNSATS 550 HØY VINKEL H/H TLB RF;40314;ST;Ingen endring;;
148624;51537825;INNSATS 550 HØY VINKEL H/H TLB SORT;34457;ST;Ingen endring;;
148711;51538692;INNSATS 550 HØY VINKEL H/H TLT RF;40314;ST;Ingen endring;;
148623;51537814;INNSATS 550 HØY VINKEL H/H TLT SORT;34457;ST;Ingen endring;;
148668;51538264;INNSATS 550 HØY VINKEL V/H TLB RF;40314;ST;Ingen endring;;
148572;51537318;INNSATS 550 HØY VINKEL V/H TLB SORT;34457;ST;Ingen endring;;
148667;51538253;INNSATS 550 HØY VINKEL V/H TLT RF;40314;ST;Ingen endring;;
148571;51537303;INNSATS 550 HØY VINKEL V/H TLT SORT;34457;ST;Ingen endring;;
148686;51538442;INNSATS 550 STD H/H TLB RF;24024;ST;Ingen endring;;
148598;51537564;INNSATS 550 STD H/H TLB SORT;20534;ST;Ingen endring;;
148685;51538438;INNSATS 550 STD H/H TLT RF;24024;ST;Ingen endring;;
148597;51537553;INNSATS 550 STD H/H TLT SORT;20534;ST;Ingen endring;;
148642;51538003;INNSATS 550 STD V/H TLB RF;24024;ST;Ingen endring;;
148546;51537057;INNSATS 550 STD V/H TLB SORT;20534;ST;Ingen endring;;
148641;51537992;INNSATS 550 STD V/H TLT RF;24024;ST;Ingen endring;;
148545;51537042;INNSATS 550 STD V/H TLT SORT;20534;ST;Ingen endring;;
148716;51538741;INNSATS 550 VINKEL H/H TLB RF;40314;ST;Ingen endring;;
148628;51537863;INNSATS 550 VINKEL H/H TLB SORT;34457;ST;Ingen endring;;
148715;51538737;INNSATS 550 VINKEL H/H TLT RF;40314;ST;Ingen endring;;
148627;51537852;INNSATS 550 VINKEL H/H TLT SORT;34457;ST;Ingen endring;;
148672;51538302;INNSATS 550 VINKEL V/H TLB RF;40314;ST;Ingen endring;;
148576;51537356;INNSATS 550 VINKEL V/H TLB SORT;34457;ST;Ingen endring;;
148671;51538298;INNSATS 550 VINKEL V/H TLT RF;40314;ST;Ingen endring;;
148575;51537341;INNSATS 550 VINKEL V/H TLT SORT;34457;ST;Ingen endring;;
148692;51538506;INNSATS 550 XL STD H/H TLB RF;25653;ST;Ingen endring;;
148604;51537621;INNSATS 550 XL STD H/H TLB SORT;21926;ST;Ingen endring;;
148691;51538495;INNSATS 550 XL STD H/H TLT RF;25653;ST;Ingen endring;;
148603;51537617;INNSATS 550 XL STD H/H TLT SORT;20534;ST;Ingen endring;;
148648;51538060;INNSATS 550 XL STD V/H TLB RF;25653;ST;Ingen endring;;
148552;51537114;INNSATS 550 XL STD V/H TLB SORT;21926;ST;Ingen endring;;
148647;51538056;INNSATS 550 XL STD V/H TLT RF;25653;ST;Ingen endring;;
148551;51537106;INNSATS 550 XL STD V/H TLT SORT;21926;ST;Ingen endring;;
148706;51538646;INNSATS 550 XXL STD H/H TLB RF;31335;ST;Ingen endring;;
148618;51537761;INNSATS 550 XXL STD H/H TLB SORT;26799;ST;Ingen endring;;
148705;51538635;INNSATS 550 XXL STD H/H TLT RF;31335;ST;Ingen endring;;
148617;51537757;INNSATS 550 XXL STD H/H TLT SORT;26799;ST;Ingen endring;;
148662;51538200;INNSATS 550 XXL STD V/H TLB RF;31355;ST;Ingen endring;;
148566;51537254;INNSATS 550 XXL STD V/H TLB SORT;26799;ST;Ingen endring;;
148661;51538196;INNSATS 550 XXL STD V/H TLT RF;31355;ST;Ingen endring;;
148565;51537246;INNSATS 550 XXL STD V/H TLT SORT;26799;ST;Ingen endring;;
148702;51538601;INNSATS 550-850 STD H/H TLB RF;29726;ST;Ingen endring;;
148614;51537723;INNSATS 550-850 STD H/H TLB SORT;25407;ST;Ingen endring;;
148701;51538597;INNSATS 550-850 STD H/H TLT RF;29726;ST;Ingen endring;;
148613;51537712;INNSATS 550-850 STD H/H TLT SORT;25407;ST;Ingen endring;;
148658;51538162;INNSATS 550-850 STD V/H TLB RF;29726;ST;Ingen endring;;
148562;51537216;INNSATS 550-850 STD V/H TLB SORT;25407;ST;Ingen endring;;
148657;51538158;INNSATS 550-850 STD V/H TLT RF;29726;ST;Ingen endring;;
148561;51537201;INNSATS 550-850 STD V/H TLT SORT;25407;ST;Ingen endring;;
148696;51538544;INNSATS 550XLS STD H/H TLB RF;32169;ST;Ingen endring;;
148608;51537666;INNSATS 550XLS STD H/H TLB SORT;27495;ST;Ingen endring;;
148695;51538533;INNSATS 550XLS STD H/H TLT RF;32169;ST;Ingen endring;;
148607;51537655;INNSATS 550XLS STD H/H TLT SORT;27495;ST;Ingen endring;;
148652;51538105;INNSATS 550XLS STD V/H TLB RF;32169;ST;Ingen endring;;
148556;51537152;INNSATS 550XLS STD V/H TLB SORT;27495;ST;Ingen endring;;
148651;51538094;INNSATS 550XLS STD V/H TLT RF;32169;ST;Ingen endring;;
148555;51537144;INNSATS 550XLS STD V/H TLT SORT;27495;ST;Ingen endring;;
148586;51537443;INNSATS FRISKLUFTSETT;731;ST;Ingen endring;;
135244;41147539;ISOLASJON 27MM Ø16 SV;68;PAR;;;
135187;43935125;ISOLASJON 27MM Ø20 SV;77;PAR;;;
100328;25417668;ISOLASJON 35MM Ø25 RONDO;136;PAR;;;
100329;25417783;ISOLASJON 40MM Ø30 RONDO;161;PAR;;;
135268;21771928;ISOLASJON 55MM Ø16 RONDO;131;PAR;;;
135354;21772033;ISOLASJON 55MM Ø20 RONDO;142;PAR;;;
900002026;52047134;ISOLASJON PÅ RULL 13X950X1000MM;114;M;;;
900007613;;ISOLASJON TIL DM ALU LUKE;144;ST;;;
900006309;;ISOLASJON TUBE 955MM 25MM Ø191/241;265;ST;;;
131074;48844740;JUSTERBART RØRSETT GRÅ Ø150 PMV;1042;ST;;;
131075;48844755;JUSTERBART RØRSETT HVIT Ø150 PMV;1042;ST;;;
131073;48058526;JUSTERBART RØRSETT SORT Ø150 PMV;1042;ST;;;
146809;51914482;KLEMBÅND TIL STØTTESTAG BLANK Ø250;332;ST;;;
146811;51914497;KLEMBÅND TIL STØTTESTAG BLANK Ø300;357;ST;;;
146813;51914501;KLEMBÅND TIL STØTTESTAG BLANK Ø350;383;ST;;;
147424;52003745;KLEMBÅND TIL STØTTESTAG SORT Ø250;332;ST;;;
147426;52003753;KLEMBÅND TIL STØTTESTAG SORT Ø300;357;ST;;;
147428;52003764;KLEMBÅND TIL STØTTESTAG SORT Ø350;383;ST;;;
106581;27809268;KONDENSPOTTE M/TUT Ø100 PPL;402;ST;;;
106584;27809276;KONDENSPOTTE M/TUT Ø130 PPL;417;ST;;;
106586;27809284;KONDENSPOTTE M/TUT Ø150 PPL;420;ST;;;
106588;27813583;KONDENSPOTTE M/TUT Ø180 PPL;427;ST;;;
106589;27813591;KONDENSPOTTE M/TUT Ø200 PPL;457;ST;;;
102684;25417437;KONDENSPOTTE Ø16 RONDO;537;ST;;;
117891;41433608;KONDENSPOTTE Ø16 SV;268;ST;;;
102685;25675158;KONDENSPOTTE Ø18;574;ST;;;
102686;25417528;KONDENSPOTTE Ø20;608;ST;;;
118693;43935394;KONDENSPOTTE Ø20 SV;295;ST;;;
102535;25417650;KONDENSPOTTE Ø25;954;ST;;;
102536;25417775;KONDENSPOTTE Ø30;967;ST;;;
136962;;KONSTANTTRYKKREGULATOR EBC20EU01;13414;ST;;;
149828;51953614;LIM SKAMOLEX 290ML PATRON;150;ST;Ingen endring;;
101205;;LOKK M/TREKKBEGRENSER Ø150 BLANK ICS25;1714;ST;;;
105495;;LOKK TIL RØYKINNFØRING KERANOVA Ø180;350;ST;;;
105004;;LOKK TIL T-RØR BLANK Ø150 ICS50;735;ST;;;
112402;47930332;LOKK TIL T-RØR GRÅ Ø150 PM50;588;ST;;;
113170;48843794;LOKK TIL T-RØR GRÅ Ø200 PM50;615;ST;;;
114543;48843824;LOKK TIL T-RØR GRÅ Ø250 PM50;708;ST;;;
112394;48843786;LOKK TIL T-RØR HVIT Ø150 PM50;588;ST;;;
113172;48843805;LOKK TIL T-RØR HVIT Ø200 PM50;615;ST;;;
114546;48843813;LOKK TIL T-RØR HVIT Ø250 PM50;708;ST;;;
101036;;LOKK TIL T-RØR M/AVTAPP Ø350 BLANK ICS25;1750;ST;;;
101037;;LOKK TIL T-RØR M/AVTAPP Ø400 BLANK ICS25;2450;ST;;;
121862;;LOKK TIL T-RØR M/DREN Ø500 BLANK ICS25;2100;ST;;;
113489;;LOKK TIL T-RØR SORT Ø150 PM25;545;ST;;;
112422;43670366;LOKK TIL T-RØR SORT Ø150 PM50;588;ST;;;
115033;47521997;LOKK TIL T-RØR SORT Ø200 PM25;609;ST;;;
113169;47522175;LOKK TIL T-RØR SORT Ø200 PM50;615;ST;;;
116008;47522001;LOKK TIL T-RØR SORT Ø250 PM25;679;ST;;;
114537;47522186;LOKK TIL T-RØR SORT Ø250 PM50;708;ST;;;
101108;;LOKK TIL T-RØR Ø180 BLANK ICS25;850;ST;;;
135125;45570980;LOKK TILLUFTADAPTER 80MM;117;ST;;;
135127;41618794;LOKK TILLUFTADAPTER Ø100MM;128;ST;;;
101115;;LOKK T-RØR  Ø500 BLANK ICS25;2395;ST;;;
101692;;LOKK T-RØR KERANOVA Ø16;465;ST;;;
101039;;LOKK T-RØR M/AVTAPPING Ø500 BLANK ICS25;3427;ST;;;
104997;;LOKK T-RØR MED AVTAPPING Ø250 BLANK ICS5;889;ST;;;
105929;44679558;LOKK T-RØR Ø130 PPL;326;ST;;;
105930;27886712;LOKK T-RØR Ø150 PPL;358;ST;;;
106060;27886696;LOKK T-RØR Ø180 PPL;393;ST;;;
105931;44679562;LOKK T-RØR Ø200 PPL;442;ST;;;
118568;44677742;L-RØR 730MM GRÅ Ø150 PMS25;3068;ST;;;
118279;44678158;L-RØR 730MM GRÅ Ø150 PMS50;3229;ST;;;
113664;44677761;L-RØR 730MM GRÅ Ø200 PMS25;4038;ST;;;
118275;44678181;L-RØR 730MM GRÅ Ø200 PMS50;4171;ST;;;
118570;44678506;L-RØR 730MM HVIT Ø150 PMS25;3068;ST;;;
118272;44678162;L-RØR 730MM HVIT Ø150 PMS50;3229;ST;;;
113670;44677776;L-RØR 730MM HVIT Ø200 PMS25;4038;ST;;;
118282;44678196;L-RØR 730MM HVIT Ø200 PMS50;4171;ST;;;
118571;44677738;L-RØR 730MM SORT Ø150 PMS25;3068;ST;;;
118284;44678143;L-RØR 730MM SORT Ø150 PMS50;3229;ST;;;
113665;44677757;L-RØR 730MM SORT Ø200 PMS25;4038;ST;;;
118288;44678177;L-RØR 730MM SORT Ø200 PMS50;4171;ST;;;
121340;48843737;L-RØR FORLENGER Ø150 GRÅ PMV25;552;ST;;;
121341;48843741;L-RØR FORLENGER Ø150 HVIT PMV25;552;ST;;;
120775;47262513;L-RØR GRÅ Ø150 PMV25;3280;ST;;;
120774;47262505;L-RØR HVIT Ø150 PMV25;3280;ST;;;
120773;47262494;L-RØR SORT Ø150 PMV25;3280;ST;;;
136986;48138580;LUKE CURVE MG10-201;1311;ST;;;
136987;47979975;LUKESETT RADIUS MG08-501;2011;ST;;;
137890;;LYDDEMPER 100CM 25DB Ø180 BLANK ICS25;13056;ST;;;
137892;;LYDDEMPER 25DB 1000MM Ø250 MATT;15369;ST;;;
146437;51017006;LÅSEBÅND 100MM Ø125 SORT;186;ST;;;
104467;48843832;LÅSEBÅND 100MM Ø200 BLANK;396;ST;;;
109835;48843843;LÅSEBÅND 100MM Ø200 GRÅ;317;ST;;;
110023;47930313;LÅSEBÅND 100MM Ø200 GRÅ;317;ST;;;
110026;47262456;LÅSEBÅND 100MM Ø200 SORT;317;ST;;;
101129;;LÅSEBÅND 100MM Ø250 BLANK;438;ST;;;
110161;48843877;LÅSEBÅND 100MM Ø250 BLANK;438;ST;;;
124059;48843900;LÅSEBÅND 100MM Ø250 BØRSTET;492;ST;;;
109882;48843881;LÅSEBÅND 100MM Ø250 GRÅ;351;ST;;;
110167;47930324;LÅSEBÅND 100MM Ø250 GRÅ;351;ST;;;
110163;;LÅSEBÅND 100MM Ø250 HVIT;351;ST;;;
110164;45636394;LÅSEBÅND 100MM Ø250 SORT;351;ST;;;
101131;48843926;LÅSEBÅND 100MM Ø300 BLANK;548;ST;;;
110288;45643897;LÅSEBÅND 100MM Ø300 BLANK;548;ST;;;
110279;45643920;LÅSEBÅND 100MM Ø300 GRÅ;438;ST;;;
110289;45643935;LÅSEBÅND 100MM Ø300 HVIT;438;ST;;;
110281;45643916;LÅSEBÅND 100MM Ø300 SORT;438;ST;;;
121135;49591515;LÅSEBÅND 100MM Ø350 GRÅ;511;ST;;;
121136;49591526;LÅSEBÅND 100MM Ø350 HVIT;511;ST;;;
146503;51773846;LÅSEBÅND 100MM Ø350 SORT;511;ST;;;
105944;27809334;LÅSEBÅND 30MM Ø100 PPL;121;ST;;;
105947;27809359;LÅSEBÅND 30MM Ø130 PPL;121;ST;;;
105949;27809367;LÅSEBÅND 30MM Ø150 PPL;142;ST;;;
105951;27809383;LÅSEBÅND 30MM Ø180 PPL;174;ST;;;
105952;27809391;LÅSEBÅND 30MM Ø200 PPL;174;ST;;;
105954;48843862;LÅSEBÅND 30MM Ø250 PPL;199;ST;;;
105955;48843915;LÅSEBÅND 30MM Ø300 PPL;211;ST;;;
119582;;LÅSEBÅND 400/0,4/316/MA/PPL06;263;ST;;;
109844;48843858;LÅSEBÅND 57MM Ø200 HVIT;317;ST;;;
109839;48034465;LÅSEBÅND 57MM Ø200 SORT;105;ST;;;
104423;;LÅSEBÅND 57MM Ø250 BLANK;180;ST;;;
109874;48843896;LÅSEBÅND 57MM Ø250 HVIT;144;ST;;;
109887;48034473;LÅSEBÅND 57MM Ø250 SORT;144;ST;;;
124060;48843953;LÅSEBÅND 57MM Ø300 BØRSTET;276;ST;;;
109975;48843934;LÅSEBÅND 57MM Ø300 GRÅ;438;ST;;;
109969;48843945;LÅSEBÅND 57MM Ø300 HVIT;189;ST;;;
109964;48157703;LÅSEBÅND 57MM Ø300 SORT;189;ST;;;
126361;;LÅSEBÅND BRED Ø15 ISOKERN;54;ST;;;
126494;;LÅSEBÅND BRED Ø17,5 ISOKERN;54;ST;;;
135206;;LÅSEBÅND SMAL Ø15 ISOKERN;42;ST;;;
127673;;LÅSEBÅND Ø20 ISOKERN;54;ST;;;
149833;51951972;MURMATERIELL KOMPLETT INNSATS;1650;ST;Ingen endring;;
130759;;MØRTELPOSE SCHIEDEL ISOKERN;6;ST;;;
137009;25417908;NØKKEL SOT-FEIELUKE;73;ST;;;
149840;51952040;OMRAMMING JUPITER INKL BRANNMUR;5053;ST;Ingen endring;;
149839;51952036;OMRAMMING MARS INKL BRANNMUR;6074;ST;Ingen endring;;
149834;51951983;OMRAMMING MERKUR INKL BRANNMUR;4842;ST;Ingen endring;;
149836;51952002;OMRAMMING SATURN INKL BRANNMUR;6331;ST;Ingen endring;;
149835;51951998;OMRAMMING TELLUS INKL BRANNMUR;6713;ST;Ingen endring;;
149837;51952017;OMRAMMING URANUS INKL BRANNMUR;6331;ST;Ingen endring;;
149838;51952021;OMRAMMING VENUS INKL BRANNMUR;5550;ST;Ingen endring;;
143935;49890286;OPPSTARTSVIFTE SORT;5466;ST;;;
143936;49890294;OPPSTARTVIFTE BLANK;5466;ST;;;
147804;;OVERBESLAG 0-10GR BLANK Ø250 PMS50;3169;ST;;;
147805;;OVERBESLAG 0-10GR BLANK Ø300 PMV50;3427;ST;;;
135347;47992397;OVERBESLAG 0-10GR SORT Ø250 PMS50;2536;ST;;;
135348;45643806;OVERBESLAG 0-10GR SORT Ø300 PMV50;2742;ST;;;
101228;;OVERBESLAG 0GR 300 BLANK ICS25;1773;ST;;;
101230;;OVERBESLAG 0GR 400 BLANK ICS25;2264;ST;;;
101234;;OVERBESLAG 0GR 600 BLANK ICS25;3349;ST;;;
147800;;OVERBESLAG 11-32G BLANK Ø250 PMS50;3198;ST;;;
147802;;OVERBESLAG 11-32G BLANK Ø300 PMV50;3581;ST;;;
135351;42179056;OVERBESLAG 11-32G SORT Ø250 PMS50;2558;ST;;;
135349;45643973;OVERBESLAG 11-32G SORT Ø300 PMV50;2865;ST;;;
101256;;OVERBESLAG 26-35GR BLY ICS25 Ø350 BLANK;3690;ST;;;
101387;;OVERBESLAG 26-35GR BLY ICS25 Ø450 BLANK;4762;ST;;;
101388;;OVERBESLAG 26-35GR BLY ICS25 Ø500 BLANK;5756;ST;;;
147801;;OVERBESLAG 33-45G BLANK Ø250 PMS50;3313;ST;;;
147803;;OVERBESLAG 33-45G BLANK Ø300 PMV50;3696;ST;;;
135352;42179075;OVERBESLAG 33-45G SORT Ø250 PMS50;2650;ST;;;
135350;45643984;OVERBESLAG 33-45G SORT Ø300 PMV50;2958;ST;;;
101395;;OVERBESLAG 36-45GR BLY ICS25 Ø450 BLANK;4250;ST;;;
101262;;OVERBESLAG BLY 36-45GR Ø450 BLANK;3690;ST;;;
101396;;OVERBESLAG BLY 36-45GR Ø600 BLANK;5756;ST;;;
138118;49593944;OVERBESLAG Ø350 0-10GR SORT;3338;ST;;;
138119;49593952;OVERBESLAG Ø350 11-32GR SORT;3572;ST;;;
138120;49593963;OVERBESLAG Ø350 33-45GR SORT;3735;ST;;;
138121;;OVERBESLAG Ø400 0-10GR SORT;2962;ST;;;
138122;;OVERBESLAG Ø400 11-32GR SORT;4096;ST;;;
138123;;OVERBESLAG Ø400 33-45GR SORT;3165;ST;;;
